Date,Open,High,Low,Close,Adj Close,Volume
2004-12-07,152.000000,154.113007,151.875000,152.283005,84.872284,7863224
2004-12-08,152.250000,153.324997,149.507996,150.100006,83.655632,7329408
2004-12-09,150.619995,152.125000,150.606995,151.432007,84.398018,3801224
2004-12-10,152.500000,154.438004,151.750000,153.207993,85.387810,6216808
2004-12-13,153.250000,155.207993,153.158005,154.520004,86.119026,4996232
2004-12-14,155.250000,155.587006,153.787994,154.145004,85.910027,3083504
2004-12-15,155.500000,156.845001,154.750000,155.688004,86.770012,5772672
2004-12-16,156.057007,158.125000,154.750000,157.832993,87.965492,4350464
2004-12-17,157.500000,159.350006,156.511993,157.061996,87.535767,5509752
2004-12-20,157.500000,158.561996,157.061996,157.820007,87.958206,2268424
2004-12-21,158.119995,159.625000,157.895004,159.087006,88.664391,3458512
2004-12-22,159.386993,159.386993,153.750000,155.020004,86.397713,6001712
2004-12-23,155.962006,155.962006,153.125000,153.481995,85.540512,3948912
2004-12-24,154.119995,159.000000,152.695007,158.494995,88.334435,6661856
2004-12-27,158.750000,160.625000,157.774994,158.820007,88.515533,4400504
2004-12-28,159.000000,164.250000,158.274994,163.669998,91.218613,9614448
2004-12-29,164.619995,167.113007,164.145004,165.033005,91.978264,6633224
2004-12-30,164.750000,166.000000,161.481995,162.082993,90.334145,5626792
2004-12-31,162.500000,167.350006,162.082993,166.932007,93.036644,4899312
2005-01-03,166.932007,169.587006,166.932007,169.158005,94.277260,4734168
2005-01-04,168.750000,169.250000,166.645004,167.658005,93.441254,4979104
2005-01-05,167.524994,167.524994,160.037994,165.625000,92.308228,9604320
2005-01-06,165.000000,168.250000,161.561996,165.057007,91.991661,8006888
2005-01-07,166.250000,168.125000,164.082993,167.494995,93.350403,7623136
2005-01-10,168.582993,169.925003,165.250000,165.932007,92.479355,7521568
2005-01-11,166.250000,166.912994,162.625000,164.220001,91.525169,7986376
2005-01-12,165.744995,170.994995,160.837006,162.257996,90.431671,20720032
2005-01-13,163.750000,167.337006,159.375000,161.613007,90.072189,27757952
2005-01-14,163.087006,164.738007,159.625000,162.050003,90.315742,15757776
2005-01-17,163.699997,163.699997,155.024994,157.908005,88.007294,13651184
2005-01-18,159.337006,160.500000,157.188004,157.981995,88.048485,6183264
2005-01-19,158.250000,159.212006,156.386993,156.925003,87.459404,3538488
2005-01-20,156.875000,156.875000,153.750000,155.462006,86.644051,4536200
2005-01-24,155.462006,155.919998,151.919998,152.582993,85.039497,3628192
2005-01-25,151.850006,154.988007,150.886993,154.432007,86.069969,4465928
2005-01-27,155.408005,156.725006,154.412994,155.070007,86.425552,5455344
2005-01-28,155.356995,161.850006,155.311996,161.149994,89.814110,8393816
2005-01-31,162.250000,163.975006,161.283005,162.550003,90.594406,5853384
2005-02-01,163.375000,165.000000,160.875000,164.408005,91.629921,8019840
2005-02-02,164.875000,165.432007,162.875000,163.619995,91.190742,4870456
2005-02-03,164.000000,164.345001,162.750000,163.886993,93.336090,3327616
2005-02-04,163.750000,165.250000,162.570007,163.307007,93.005791,2684040
2005-02-07,164.074997,166.337006,162.625000,164.220001,93.525780,5944216
2005-02-08,164.220001,165.375000,163.500000,164.500000,93.685234,3284432
2005-02-09,165.125000,167.949997,165.095001,166.600006,94.881203,5537936
2005-02-10,166.250000,167.938004,165.375000,166.582993,94.871521,4376648
2005-02-11,167.250000,173.375000,167.250000,172.720001,98.366661,10367096
2005-02-14,173.882996,177.250000,173.882996,176.207993,100.353119,8875264
2005-02-15,176.250000,176.875000,171.750000,172.669998,98.338181,3976720
2005-02-16,174.875000,174.875000,170.125000,171.020004,97.398476,3126832
2005-02-17,171.020004,173.250000,168.824997,172.731995,98.373482,4124976
2005-02-18,172.500000,174.000000,169.375000,171.875000,97.885384,2545144
2005-02-21,171.375000,171.975006,168.136993,170.695007,97.213409,1777152
